ID,flag
S000,1
S001,1
S002,1
S003,1
S004,1
S005,1
S006,1
S007,1
S008,1
S009,1
S010,1
S011,1
S012,1
S013,1
S014,1
S015,1
S016,1
S017,1
S018,1
S019,1
S020,1
S021,1
S022,1
S023,1
S024,1
S025,1
S026,1
S027,1
S028,1
S029,1
S030,1
S031,1
S032,1
S033,1
S034,1
S035,1
S036,1
S037,1
S038,1
S039,1
S040,1
S041,1
S042,1
S043,1
S044,1
S045,1
S046,1
S047,1
S048,1
S049,1
S050,1
S051,1
S052,1
S053,1
S054,1
S055,1
S056,1
S057,1
S058,1
S059,1
S060,1
S061,1
S062,1
S063,1
S064,1
S065,1
S066,1
S067,1
S068,1
S069,1
S070,1
S071,1
S072,1
S073,1
S074,1
S075,1
S076,1
S077,1
S078,1
S079,1
S080,1
S081,1
S082,1
S083,1
S084,1
S085,1
S086,1
S087,1
S088,1
S089,1
S090,1
S091,1
S092,1
S093,1
S094,1
S095,1
S096,1
S097,1
S098,1
S099,1
S100,0
S101,0
S102,0
S103,0
S104,0
S105,0
S106,0
S107,0
S108,0
S109,0
S110,0
S111,0
S112,0
S113,0
S114,0
S115,0
S116,0
S117,0
S118,0
S119,0
S120,0
S121,0
S122,0
S123,0
S124,0
S125,0
S126,0
S127,0
S128,0
S129,0
S130,0
S131,0
S132,0
S133,0
S134,0
S135,0
S136,0
S137,0
S138,0
S139,0
S140,0
S141,0
S142,0
S143,0
S144,0
S145,0
S146,0
S147,0
S148,0
S149,0
S150,0
S151,0
S152,0
S153,0
S154,0
S155,0
S156,0
S157,0
S158,0
S159,0
S160,0
S161,0
S162,0
S163,0
S164,0
S165,0
S166,0
S167,0
S168,0
S169,0
S170,0
S171,0
S172,0
S173,0
S174,0
S175,0
S176,0
S177,0
S178,0
S179,0
S180,0
S181,0
S182,0
S183,0
S184,0
S185,0
S186,0
S187,0
S188,0
S189,0
S190,0
S191,0
S192,0
S193,0
S194,0
S195,0
S196,0
S197,0
S198,0
S199,0
